date,value
8/17/92,22.5
7/25/73,22.5
7/25/73,22.5
7/25/73,22.5
8/17/92,22.5
7/25/73,22.5
8/17/92,22.5
8/17/92,22.5
7/25/73,22.5
7/26/73,22.5
7/26/73,22.5
7/25/73,22.5
7/26/73,22.5
7/25/73,22.5
8/17/92,22.5
7/25/73,22.5
7/25/73,22.5
7/24/73,22.5
7/25/73,22.5
7/24/73,22.5
7/25/73,22.5
7/24/73,22.5
7/24/73,22.5
7/24/73,22.5
7/24/73,22.5
7/26/73,22.5
7/26/73,22.5
7/26/73,22.5
7/24/73,22.5
7/26/73,22.5
7/26/73,22.5
7/26/73,22.5
7/26/73,22.5
7/26/73,22.5
7/26/73,22.5
7/25/73,22.5
7/24/73,22.5
7/26/73,22.5
7/26/73,22.5
7/26/73,22.5
7/26/73,22.5
7/24/73,22.5
7/24/73,22.5
7/26/73,22.5
7/24/73,22.5
7/24/73,22.5
7/26/73,22.5
7/26/73,22.5
7/26/73,22.5
7/26/73,22.5
7/24/73,22.5
7/26/73,22.5
7/26/73,22.5
7/26/73,22.5
7/24/73,22.5
7/25/73,22.5
7/24/73,22.5
7/24/73,22.5
7/24/73,22.5
7/25/73,22.5
7/24/73,22.5
7/24/73,22.5
7/24/73,22.5
7/24/73,22.5
7/24/73,22.5
7/24/73,22.5
7/24/73,22.5
7/25/73,22.5
7/24/73,22.5
7/25/73,22.6
7/26/73,22.6
7/23/73,22.6
7/24/73,22.6
7/25/73,22.6
9/15/82,22.6
7/23/73,22.6
7/23/73,22.6
7/24/73,22.6
7/23/73,22.6
7/23/73,22.6
7/23/73,22.6
7/23/73,22.6
7/24/73,22.6
7/23/73,22.6
7/24/73,22.6
7/23/73,22.6
7/23/73,22.6
7/23/73,22.6
9/15/82,22.6
7/24/73,22.6
7/25/73,22.6
7/24/73,22.6
7/25/73,22.6
7/25/73,22.6
7/24/73,22.6
7/23/73,22.6
7/25/73,22.6
7/23/73,22.6
7/24/73,22.6
7/23/73,22.6
7/23/73,22.6
7/24/73,22.6
7/23/73,22.6
7/23/73,22.6
7/23/73,22.6
7/24/73,22.6
7/25/73,22.6
7/23/73,22.6
7/24/73,22.6
7/24/73,22.6
7/25/73,22.6
7/25/73,22.6
7/26/73,22.6
7/24/73,22.6
7/26/73,22.6
7/23/73,22.6
7/23/73,22.6
7/26/73,22.6
7/24/73,22.6
7/26/73,22.6
7/24/73,22.6
7/26/73,22.6
7/23/73,22.6
7/25/73,22.6
